RowNo,Month,DayofMonth,DayOfWeek,DepTime,ShDepTime,ArrTime,ShArrTime,UniqueCarrierCode,FlightNum,TailNum,ActualElapsedTime,ShElapsedTime,AirTime,ArrDelay,DepDelay,OriginCode,DestCode,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1,9,16,2,1725,1730,1857,1909,CO,1197,N23707,92,99,63,-12,-5,BOS,EWR,200,9,20,0,,0,,,,,
2,9,28,7,1706,1635,1920,1905,WN,251,N459WN,254,270,239,15,31,MDW,SEA,1733,6,9,0,,0,3,0,0,0,12
3,2,11,1,919,915,1021,1022,MQ,3263,N324AE,62,67,42,-1,4,DFW,TXK,181,1,19,0,,0,,,,,
4,12,26,5,1912,1915,2144,2150,MQ,3436,N855MQ,92,95,74,-6,-3,ELP,DFW,551,5,13,0,,0,,,,,
5,8,3,7,2223,2230,630,658,B6,174,N516JB,307,328,290,-28,-7,SJC,JFK,2569,3,14,0,,0,,,,,
6,8,20,3,1333,1335,1531,1545,DL,1012,N914DL,118,130,95,-14,-2,ATL,PHL,665,7,16,0,,0,,,,,
7,4,2,3,1615,1611,1851,1904,AS,119,N323AS,156,173,139,-13,4,SAN,SEA,1050,5,12,0,,0,,,,,
8,6,16,1,1901,1859,2043,2055,FL,991,N944AT,102,116,80,-12,2,PIT,ATL,526,12,10,0,,0,,,,,
9,5,14,3,647,645,1437,1450,WN,1945,N242WN,290,305,266,-13,2,SAN,BWI,2295,3,21,0,,0,,,,,
10,5,19,1,1012,1015,1155,1202,FL,162,N925AT,103,107,82,-7,-3,RSW,ATL,515,10,11,0,,0,,,,,
11,2,7,4,2057,2100,2222,2215,XE,1216,N14905,85,75,41,7,-3,DCA,EWR,199,6,38,0,,0,,,,,
12,11,26,3,1820,1830,1934,1946,OH,6703,N962CA,74,76,44,-12,-10,GRR,CVG,268,12,18,0,,0,,,,,
13,9,25,4,1614,1610,1810,1820,WN,151,N343SW,176,190,160,-10,4,FLL,MDW,1166,4,12,0,,0,,,,,
14,1,17,4,1610,1610,1714,1713,UA,1437,N470UA,124,123,99,1,0,PHX,SFO,651,7,18,0,,0,,,,,
15,2,7,4,1050,1055,1215,1214,OH,5508,N435CA,85,79,37,1,-5,JFK,BOS,187,10,38,0,,0,,,,,
16,3,19,3,1333,1243,1856,1747,DL,1736,N3736C,203,184,169,69,50,HDN,ATL,1340,13,21,0,,0,0,13,19,0,37
17,5,17,6,1728,1730,1919,1923,OO,6561,N943SW,111,113,93,-4,-2,DEN,GTF,624,4,14,0,,0,,,,,
18,10,23,4,1129,1135,1311,1245,9E,5906,80239E,102,70,51,26,-6,FSM,MEM,249,6,45,0,,0,0,0,26,0,0
19,3,7,5,1358,1359,1659,1657,US,1953,N451UW,121,118,98,2,-1,ORD,CLT,599,11,12,0,,0,,,,,
20,12,10,3,812,815,1016,1000,MQ,4835,N718MQ,124,105,101,16,-3,CMH,LGA,478,3,20,0,,0,0,0,16,0,0
21,12,26,5,719,720,1045,1018,FL,100,N281AT,146,118,102,27,-1,DFW,ATL,732,31,13,0,,0,0,0,27,0,0
22,4,2,3,555,600,715,734,9E,3765,86989E,80,94,56,-19,-5,ROC,DTW,296,13,11,0,,0,,,,,
23,3,16,7,1833,1842,2031,2020,XE,2423,N48901,178,158,146,11,-9,SDF,IAH,788,11,21,0,,0,,,,,
24,9,19,5,1244,1245,1539,1559,CO,1520,N16647,115,134,91,-20,-1,IAH,ATL,689,10,14,0,,0,,,,,
25,5,15,4,1930,1933,2036,2100,NW,1189,N591NW,246,267,214,-24,-3,DTW,LAS,1750,12,20,0,,0,,,,,
26,5,30,5,858,855,1659,1726,B6,204,N651JB,301,331,282,-27,3,LGB,JFK,2465,7,12,0,,0,,,,,
27,7,18,5,1300,1305,1409,1410,WN,2362,N404WN,69,65,46,-1,-5,LAS,BUR,223,2,21,0,,0,,,,,
28,11,12,3,1640,1645,1816,1818,XE,2144,N13995,96,93,47,-2,-5,EWR,ROC,246,4,45,0,,0,,,,,
29,8,5,2,1125,1130,1257,1259,US,1034,N961UW,92,89,74,-2,-5,BOS,PHL,280,3,15,0,,0,,,,,
30,7,10,4,716,715,1224,1235,WN,3082,N265WN,188,200,175,-11,1,TUS,MDW,1440,7,6,0,,0,,,,,
31,11,6,4,540,540,642,645,OO,5725,N297SW,62,65,48,-3,0,ACV,SMF,207,4,10,0,,0,,,,,
32,4,14,1,1730,1732,1903,1911,FL,463,N993AT,93,99,73,-8,-2,PWM,BWI,452,8,12,0,,0,,,,,
33,3,12,3,728,730,810,810,EV,4530,N907EV,42,40,28,0,-2,CHA,ATL,106,7,7,0,,0,,,,,
34,6,26,4,901,855,1502,1455,WN,2893,N647SW,241,240,226,7,6,LAX,BNA,1797,7,8,0,,0,,,,,
35,11,6,4,1931,1937,2040,2057,9E,2370,86749E,129,140,103,-17,-6,DTW,OMA,651,4,22,0,,0,,,,,
36,11,2,7,2101,2100,2203,2205,WN,183,N368SW,62,65,47,-2,1,MSY,HOU,303,6,9,0,,0,,,,,
37,11,25,2,1227,1235,1404,1410,AA,446,N475AA,97,95,84,-6,-8,DFW,STL,551,2,11,0,,0,,,,,
38,9,4,4,1502,1505,1614,1625,WN,1122,N614SW,72,80,61,-11,-3,SJC,SAN,417,2,9,0,,0,,,,,
39,10,23,4,855,900,1059,1110,NW,476,N8921E,124,130,87,-11,-5,ATL,DTW,594,7,30,0,,0,,,,,
40,4,19,6,1600,1605,1743,1758,DL,1542,N986DL,103,113,84,-15,-5,ATL,BWI,576,8,11,0,,0,,,,,
41,12,2,2,656,700,950,931,FL,257,N988AT,174,151,142,19,-4,FNT,MCO,1011,7,25,0,,0,0,0,19,0,0
42,12,18,4,1104,1050,1601,1600,WN,3949,N372SW,177,190,161,1,14,LAX,MCI,1363,9,7,0,,0,,,,,
43,5,23,5,758,800,1051,1040,FL,634,N968AT,173,160,147,11,-2,ROC,TPA,1079,10,16,0,,0,,,,,
44,12,4,4,1656,1655,1757,1805,WN,1986,N792SW,121,130,87,-8,1,PHX,SFO,651,22,12,0,,0,,,,,
45,4,3,4,824,700,945,823,B6,1609,N228JB,81,83,59,82,84,PWM,JFK,274,7,15,0,,0,82,0,0,0,0
46,9,2,2,930,940,1034,1055,9E,5967,85329E,64,75,42,-21,-10,MEM,FSM,249,4,18,0,,0,,,,,
47,2,28,4,1703,1705,1725,1734,OO,3994,N454SW,82,89,63,-9,-2,SLC,RNO,422,6,13,0,,0,,,,,
48,1,7,1,1120,1115,1225,1225,WN,380,N793SA,65,70,49,0,5,RNO,LAS,345,5,11,0,,0,,,,,
49,7,13,7,914,915,1011,1020,WN,2707,N341SW,57,65,46,-9,-1,OKC,MCI,313,5,6,0,,0,,,,,
50,11,25,2,657,700,954,1000,DL,785,N982DL,117,120,81,-6,-3,ORD,ATL,606,19,17,0,,0,,,,,
51,7,31,4,1109,1105,1222,1215,OH,5586,N940CA,73,70,42,7,4,BWI,JFK,184,13,18,0,,0,,,,,
52,4,3,4,827,825,1001,945,AA,1468,N506AA,94,80,74,16,2,DFW,MEM,432,7,13,0,,0,0,0,16,0,0
53,10,11,6,953,1000,1050,1118,US,2122,N765US,57,78,36,-28,-7,LGA,BOS,185,6,15,0,,0,,,,,
54,11,14,5,721,730,840,849,B6,129,N656JB,79,79,53,-9,-9,ROC,JFK,264,12,14,0,,0,,,,,
55,10,1,3,1902,1905,2012,2025,WN,1137,N342SW,70,80,61,-13,-3,JAN,HOU,359,3,6,0,,0,,,,,
56,10,20,1,924,930,1118,1146,B6,1125,N289JB,114,136,97,-28,-6,RDU,FLL,680,8,9,0,,0,,,,,
57,8,11,1,1910,1745,1956,1850,YV,2673,N931LR,46,65,34,66,85,ILM,CLT,185,6,6,0,,0,0,0,0,0,66
58,2,29,5,1252,1250,1344,1337,AQ,486,N738AL,52,47,42,7,2,LIH,KOA,263,5,5,0,,0,,,,,
59,2,11,1,1025,950,1257,1230,WN,1372,N692SW,152,160,132,27,35,DTW,MCO,957,7,13,0,,0,3,0,0,0,24
60,3,13,4,1148,1150,1442,1500,B6,425,N651JB,174,190,162,-18,-2,BOS,PBI,1197,3,9,0,,0,,,,,
61,1,18,5,1643,1530,1838,1725,MQ,4339,N813AE,55,55,33,73,73,ORD,TOL,214,2,20,0,,0,37,0,0,0,36
62,3,24,1,1833,1835,1937,1953,9E,2824,86969E,64,78,44,-16,-2,CID,MSP,221,9,11,0,,0,,,,,
63,10,20,1,1856,1900,2146,2200,XE,2917,N21197,170,180,150,-14,-4,MSP,IAH,1034,10,10,0,,0,,,,,
64,4,2,3,1441,1440,1550,1550,WN,966,N472WN,69,70,49,0,1,LAS,PHX,256,4,16,0,,0,,,,,
65,12,24,3,1830,1743,2101,2018,UA,949,N538UA,271,275,248,43,47,ORD,SEA,1721,5,18,0,,0,43,0,0,0,0
66,4,25,5,1211,1115,1307,1219,XE,144,N18556,56,64,46,48,56,ONT,MRY,296,3,7,0,,0,48,0,0,0,0
67,4,28,1,1303,1300,1419,1415,WN,3220,N445WN,76,75,61,4,3,LAX,RNO,390,4,11,0,,0,,,,,
68,3,3,1,1828,1818,1933,1935,OO,5480,N293SW,65,77,52,-2,10,ACV,SFO,250,5,8,0,,0,,,,,
69,1,4,5,835,835,1004,953,DL,1563,N901DE,89,78,57,11,0,ATL,DAB,366,4,28,0,,0,,,,,
70,4,13,7,1810,1815,1920,1858,YV,2897,N449YV,130,103,78,22,-5,DRO,PHX,351,42,10,0,,0,0,0,22,0,0
71,3,13,4,1916,1857,2029,2014,YV,7090,N27173,73,77,50,15,19,ORD,DSM,299,6,17,0,,0,0,0,0,0,15
72,4,24,4,555,600,921,930,OO,5975,N707SK,146,150,119,-9,-5,MFR,DEN,964,13,14,0,,0,,,,,
73,6,10,2,944,920,1120,1032,UA,1543,N486UA,156,132,139,48,24,DEN,RNO,804,5,12,0,,0,0,0,24,0,24
74,9,9,2,950,950,1004,1009,EV,4867,N973EV,74,79,55,-5,0,ATL,EVV,350,4,15,0,,0,,,,,
75,5,22,4,705,710,709,725,9E,4747,84099E,64,75,45,-16,-5,CMX,MSP,277,8,11,0,,0,,,,,
76,9,18,4,625,630,740,750,CO,1119,N63305,75,80,56,-10,-5,BOS,EWR,200,8,11,0,,0,,,,,
77,11,26,3,728,730,858,908,XE,2390,N11176,90,98,74,-10,-2,CLE,MHT,544,4,12,0,,0,,,,,
78,6,16,1,2114,2100,2121,2110,WN,193,N629SW,67,70,52,11,14,ABQ,PHX,328,6,9,0,,0,,,,,
79,3,9,7,1132,1135,1406,1425,AA,915,N057AA,154,170,134,-19,-3,SJU,MIA,1045,3,17,0,,0,,,,,
80,5,7,3,1715,1720,1847,1848,DL,882,N994DL,92,88,67,-1,-5,ATL,CVG,373,9,16,0,,0,,,,,
